구역,병원명,분류,세부분류,전화번호,주소,위도,경도,지도URL
광화문,광화문정형외과의원,정형외과,"의료,건강 > 병원 > 정형외과",02-735-7588,서울 종로구 세종대로23길 54,37.57183264517333,126.97328523722531,http://place.map.kakao.com/1504533743
광화문,화이팅마취통증의학과의원 광화문점,정형외과,"의료,건강 > 병원 > 정형외과",02-2138-7988,서울 종로구 종로 19,37.57079240678811,126.97990308035392,http://place.map.kakao.com/1900415985
광화문,스마일마취통증의학과의원,정형외과,"의료,건강 > 병원 > 통증클리닉",02-730-0088,서울 종로구 새문안로 89,37.5705354829686,126.974510483237,http://place.map.kakao.com/1602374348
광화문,광화문한의원,한의원,"의료,건강 > 병원 > 한의원",02-720-8610,서울 종로구 인사동11길 16-1,37.5738653950653,126.983771472414,http://place.map.kakao.com/8778200
광화문,광화문경희한의원,한의원,"의료,건강 > 병원 > 한의원",02-737-1025,서울 종로구 세종대로23길 7,37.5715539026969,126.975916051887,http://place.map.kakao.com/138825680
서촌,큰나무정형외과의원,정형외과,"의료,건강 > 병원 > 정형외과",02-733-0052,서울 종로구 자하문로2길 4,37.57641141764783,126.9729213452966,http://place.map.kakao.com/8558590
서촌,참바른정형외과의원,정형외과,"의료,건강 > 병원 > 정형외과",0507-1420-7594,서울 종로구 무교로 39,37.5694822268236,126.97913823696,http://place.map.kakao.com/1331611628
서촌,종로기대찬의원 본관,정형외과,"의료,건강 > 병원 > 정형외과",02-6391-2580,서울 종로구 종로5길 13,37.5709601007214,126.980552785077,http://place.map.kakao.com/26262167
서촌,우리본정형외과의원,정형외과,"의료,건강 > 병원 > 정형외과",02-755-8575,서울 중구 청계천로 14,37.56879020544934,126.9788192241803,http://place.map.kakao.com/1143385737
서촌,채움마취통증의학과의원,정형외과,"의료,건강 > 병원 > 정형외과",02-737-8257,서울 종로구 새문안로 103,37.5704583192657,126.976047712106,http://place.map.kakao.com/18316188
서촌,종로정형외과의원,정형외과,"의료,건강 > 병원 > 정형외과",02-2088-7975,서울 종로구 종로 19,37.57074375574153,126.9799189409361,http://place.map.kakao.com/26810458
서촌,종로기대찬의원 신관,정형외과,"의료,건강 > 병원 > 정형외과",02-6334-2580,서울 종로구 종로 19,37.5708446679726,126.979923441709,http://place.map.kakao.com/1463722309
